model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_distilbert-base-uncased,go_emotions,native,42,admiration,0.6770186335403726,,,504
hf_distilbert-base-uncased,go_emotions,native,42,amusement,0.7784431137724551,,,264
hf_distilbert-base-uncased,go_emotions,native,42,anger,0.4528301886792453,,,198
hf_distilbert-base-uncased,go_emotions,native,42,annoyance,0.29082774049217003,,,320
hf_distilbert-base-uncased,go_emotions,native,42,approval,0.34368530020703936,,,351
hf_distilbert-base-uncased,go_emotions,native,42,caring,0.42105263157894735,,,135
hf_distilbert-base-uncased,go_emotions,native,42,confusion,0.4016393442622951,,,153
hf_distilbert-base-uncased,go_emotions,native,42,curiosity,0.5062388591800356,,,284
hf_distilbert-base-uncased,go_emotions,native,42,desire,0.36036036036036034,,,83
hf_distilbert-base-uncased,go_emotions,native,42,disappointment,0.17341040462427745,,,151
hf_distilbert-base-uncased,go_emotions,native,42,disapproval,0.391578947368421,,,267
hf_distilbert-base-uncased,go_emotions,native,42,disgust,0.39751552795031053,,,123
hf_distilbert-base-uncased,go_emotions,native,42,embarrassment,0.43137254901960786,,,37
hf_distilbert-base-uncased,go_emotions,native,42,excitement,0.4189189189189189,,,103
hf_distilbert-base-uncased,go_emotions,native,42,fear,0.6,,,78
hf_distilbert-base-uncased,go_emotions,native,42,gratitude,0.9115442278860569,,,352
hf_distilbert-base-uncased,go_emotions,native,42,grief,0.0,,,6
hf_distilbert-base-uncased,go_emotions,native,42,joy,0.5506072874493927,,,161
hf_distilbert-base-uncased,go_emotions,native,42,love,0.7534883720930232,,,238
hf_distilbert-base-uncased,go_emotions,native,42,nervousness,0.2222222222222222,,,23
hf_distilbert-base-uncased,go_emotions,native,42,optimism,0.5033112582781457,,,186
hf_distilbert-base-uncased,go_emotions,native,42,pride,0.5217391304347826,,,16
hf_distilbert-base-uncased,go_emotions,native,42,realization,0.24043715846994534,,,145
hf_distilbert-base-uncased,go_emotions,native,42,relief,0.0,,,11
hf_distilbert-base-uncased,go_emotions,native,42,remorse,0.6055045871559633,,,56
hf_distilbert-base-uncased,go_emotions,native,42,sadness,0.5894736842105263,,,156
hf_distilbert-base-uncased,go_emotions,native,42,surprise,0.49122807017543857,,,141
hf_distilbert-base-uncased,go_emotions,native,42,neutral,0.6218700475435817,,,1787
hf_distilbert-base-uncased,go_emotions,native,43,admiration,0.6794171220400729,,,504
hf_distilbert-base-uncased,go_emotions,native,43,amusement,0.7944664031620553,,,264
hf_distilbert-base-uncased,go_emotions,native,43,anger,0.4864864864864865,,,198
hf_distilbert-base-uncased,go_emotions,native,43,annoyance,0.23821339950372208,,,320
hf_distilbert-base-uncased,go_emotions,native,43,approval,0.3312368972746331,,,351
hf_distilbert-base-uncased,go_emotions,native,43,caring,0.36923076923076925,,,135
hf_distilbert-base-uncased,go_emotions,native,43,confusion,0.39111111111111113,,,153
hf_distilbert-base-uncased,go_emotions,native,43,curiosity,0.49523809523809526,,,284
hf_distilbert-base-uncased,go_emotions,native,43,desire,0.41379310344827586,,,83
hf_distilbert-base-uncased,go_emotions,native,43,disappointment,0.22916666666666666,,,151
hf_distilbert-base-uncased,go_emotions,native,43,disapproval,0.2411764705882353,,,267
hf_distilbert-base-uncased,go_emotions,native,43,disgust,0.43820224719101125,,,123
hf_distilbert-base-uncased,go_emotions,native,43,embarrassment,0.43137254901960786,,,37
hf_distilbert-base-uncased,go_emotions,native,43,excitement,0.45161290322580644,,,103
hf_distilbert-base-uncased,go_emotions,native,43,fear,0.6212121212121212,,,78
hf_distilbert-base-uncased,go_emotions,native,43,gratitude,0.9147058823529411,,,352
hf_distilbert-base-uncased,go_emotions,native,43,grief,0.0,,,6
hf_distilbert-base-uncased,go_emotions,native,43,joy,0.5986394557823129,,,161
hf_distilbert-base-uncased,go_emotions,native,43,love,0.7914893617021277,,,238
hf_distilbert-base-uncased,go_emotions,native,43,nervousness,0.08,,,23
hf_distilbert-base-uncased,go_emotions,native,43,optimism,0.5802469135802469,,,186
hf_distilbert-base-uncased,go_emotions,native,43,pride,0.21052631578947367,,,16
hf_distilbert-base-uncased,go_emotions,native,43,realization,0.22727272727272727,,,145
hf_distilbert-base-uncased,go_emotions,native,43,relief,0.0,,,11
hf_distilbert-base-uncased,go_emotions,native,43,remorse,0.6285714285714286,,,56
hf_distilbert-base-uncased,go_emotions,native,43,sadness,0.5747126436781609,,,156
hf_distilbert-base-uncased,go_emotions,native,43,surprise,0.5483870967741935,,,141
hf_distilbert-base-uncased,go_emotions,native,43,neutral,0.6611851431811738,,,1787
hf_distilbert-base-uncased,go_emotions,native,44,admiration,0.6920289855072463,,,504
hf_distilbert-base-uncased,go_emotions,native,44,amusement,0.8103130755064457,,,264
hf_distilbert-base-uncased,go_emotions,native,44,anger,0.4972375690607735,,,198
hf_distilbert-base-uncased,go_emotions,native,44,annoyance,0.20051413881748073,,,320
hf_distilbert-base-uncased,go_emotions,native,44,approval,0.36511156186612576,,,351
hf_distilbert-base-uncased,go_emotions,native,44,caring,0.3842364532019704,,,135
hf_distilbert-base-uncased,go_emotions,native,44,confusion,0.25668449197860965,,,153
hf_distilbert-base-uncased,go_emotions,native,44,curiosity,0.39618138424821003,,,284
hf_distilbert-base-uncased,go_emotions,native,44,desire,0.464,,,83
hf_distilbert-base-uncased,go_emotions,native,44,disappointment,0.1744186046511628,,,151
hf_distilbert-base-uncased,go_emotions,native,44,disapproval,0.30024213075060535,,,267
hf_distilbert-base-uncased,go_emotions,native,44,disgust,0.5288461538461539,,,123
hf_distilbert-base-uncased,go_emotions,native,44,embarrassment,0.26666666666666666,,,37
hf_distilbert-base-uncased,go_emotions,native,44,excitement,0.44,,,103
hf_distilbert-base-uncased,go_emotions,native,44,fear,0.6165413533834586,,,78
hf_distilbert-base-uncased,go_emotions,native,44,gratitude,0.9228486646884273,,,352
hf_distilbert-base-uncased,go_emotions,native,44,grief,0.0,,,6
hf_distilbert-base-uncased,go_emotions,native,44,joy,0.5289256198347108,,,161
hf_distilbert-base-uncased,go_emotions,native,44,love,0.7933194154488518,,,238
hf_distilbert-base-uncased,go_emotions,native,44,nervousness,0.0,,,23
hf_distilbert-base-uncased,go_emotions,native,44,optimism,0.5678233438485805,,,186
hf_distilbert-base-uncased,go_emotions,native,44,pride,0.0,,,16
hf_distilbert-base-uncased,go_emotions,native,44,realization,0.18072289156626506,,,145
hf_distilbert-base-uncased,go_emotions,native,44,relief,0.0,,,11
hf_distilbert-base-uncased,go_emotions,native,44,remorse,0.48936170212765956,,,56
hf_distilbert-base-uncased,go_emotions,native,44,sadness,0.563265306122449,,,156
hf_distilbert-base-uncased,go_emotions,native,44,surprise,0.5042016806722689,,,141
hf_distilbert-base-uncased,go_emotions,native,44,neutral,0.6334134615384616,,,1787
