model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_distilbert-base-uncased,go_emotions,native,42,admiration,0.0,,,82
hf_distilbert-base-uncased,go_emotions,native,42,amusement,0.0,,,43
hf_distilbert-base-uncased,go_emotions,native,42,anger,0.0,,,39
hf_distilbert-base-uncased,go_emotions,native,42,annoyance,0.0,,,58
hf_distilbert-base-uncased,go_emotions,native,42,approval,0.0,,,50
hf_distilbert-base-uncased,go_emotions,native,42,caring,0.0,,,33
hf_distilbert-base-uncased,go_emotions,native,42,confusion,0.0,,,25
hf_distilbert-base-uncased,go_emotions,native,42,curiosity,0.0,,,44
hf_distilbert-base-uncased,go_emotions,native,42,desire,0.0,,,22
hf_distilbert-base-uncased,go_emotions,native,42,disappointment,0.0,,,19
hf_distilbert-base-uncased,go_emotions,native,42,disapproval,0.0,,,52
hf_distilbert-base-uncased,go_emotions,native,42,disgust,0.0,,,27
hf_distilbert-base-uncased,go_emotions,native,42,embarrassment,0.0,,,8
hf_distilbert-base-uncased,go_emotions,native,42,excitement,0.0,,,16
hf_distilbert-base-uncased,go_emotions,native,42,fear,0.0,,,21
hf_distilbert-base-uncased,go_emotions,native,42,gratitude,0.0,,,76
hf_distilbert-base-uncased,go_emotions,native,42,grief,0.0,,,1
hf_distilbert-base-uncased,go_emotions,native,42,joy,0.0,,,31
hf_distilbert-base-uncased,go_emotions,native,42,love,0.0,,,36
hf_distilbert-base-uncased,go_emotions,native,42,nervousness,0.0,,,3
hf_distilbert-base-uncased,go_emotions,native,42,optimism,0.0,,,37
hf_distilbert-base-uncased,go_emotions,native,42,pride,0.0,,,2
hf_distilbert-base-uncased,go_emotions,native,42,realization,0.0,,,21
hf_distilbert-base-uncased,go_emotions,native,42,relief,0.0,,,6
hf_distilbert-base-uncased,go_emotions,native,42,remorse,0.0,,,13
hf_distilbert-base-uncased,go_emotions,native,42,sadness,0.0,,,32
hf_distilbert-base-uncased,go_emotions,native,42,surprise,0.0,,,23
hf_distilbert-base-uncased,go_emotions,native,42,neutral,0.0,,,337
