model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,native,42,admiration,0.6846361185983828,0.6549047358298373,0.7161954424885459,504
hf_bert-base-uncased,go_emotions,native,42,amusement,0.8100358422939068,0.7717301198877001,0.8478278457858449,264
hf_bert-base-uncased,go_emotions,native,42,anger,0.46835443037974683,0.4025963652960458,0.530977803568838,198
hf_bert-base-uncased,go_emotions,native,42,annoyance,0.3424408014571949,0.2868088689306764,0.3929264049618032,320
hf_bert-base-uncased,go_emotions,native,42,approval,0.4030534351145038,0.3585510799404171,0.4497169497169497,351
hf_bert-base-uncased,go_emotions,native,42,caring,0.4234527687296417,0.35412605932203395,0.48573359073359074,135
hf_bert-base-uncased,go_emotions,native,42,confusion,0.4148148148148148,0.33584455239417077,0.48398576512455516,153
hf_bert-base-uncased,go_emotions,native,42,curiosity,0.48484848484848486,0.43494019718765153,0.5307515902243053,284
hf_bert-base-uncased,go_emotions,native,42,desire,0.5416666666666666,0.4366133162612036,0.6417956513727657,83
hf_bert-base-uncased,go_emotions,native,42,disappointment,0.30578512396694213,0.2317596566523605,0.3813559322033898,151
hf_bert-base-uncased,go_emotions,native,42,disapproval,0.40441176470588236,0.3485776959185501,0.45329430301532375,267
hf_bert-base-uncased,go_emotions,native,42,disgust,0.4830917874396135,0.3955734406438632,0.5631067961165048,123
hf_bert-base-uncased,go_emotions,native,42,embarrassment,0.4918032786885246,0.3199545454545455,0.6364267676767676,37
hf_bert-base-uncased,go_emotions,native,42,excitement,0.44047619047619047,0.343272921108742,0.5277855805243445,103
hf_bert-base-uncased,go_emotions,native,42,fear,0.6451612903225806,0.557124060150376,0.7284284284284284,78
hf_bert-base-uncased,go_emotions,native,42,gratitude,0.9065155807365439,0.8823487153482082,0.9276838625402699,352
hf_bert-base-uncased,go_emotions,native,42,grief,0.0,0.0,0.0,6
hf_bert-base-uncased,go_emotions,native,42,joy,0.6013513513513513,0.5279970260223048,0.6622073578595318,161
hf_bert-base-uncased,go_emotions,native,42,love,0.7940552016985138,0.7521712181099532,0.8309625201682228,238
hf_bert-base-uncased,go_emotions,native,42,nervousness,0.23529411764705882,0.0539527027027028,0.42105263157894735,23
hf_bert-base-uncased,go_emotions,native,42,optimism,0.5464788732394367,0.48327719173832107,0.6047967091028028,186
hf_bert-base-uncased,go_emotions,native,42,pride,0.2222222222222222,0.0,0.5,16
hf_bert-base-uncased,go_emotions,native,42,realization,0.17435897435897435,0.10054469273743019,0.25225435716089917,145
hf_bert-base-uncased,go_emotions,native,42,relief,0.26666666666666666,0.0,0.5454545454545454,11
hf_bert-base-uncased,go_emotions,native,42,remorse,0.6818181818181818,0.5820534424650939,0.7692307692307693,56
hf_bert-base-uncased,go_emotions,native,42,sadness,0.5666666666666667,0.49996056782334386,0.6319444444444444,156
hf_bert-base-uncased,go_emotions,native,42,surprise,0.49612403100775193,0.419189898218407,0.5671668928086838,141
hf_bert-base-uncased,go_emotions,native,42,neutral,0.5977883096366509,0.5780043825019006,0.6174431587631563,1787
hf_bert-base-uncased,go_emotions,native,43,admiration,0.6859344894026975,0.654252104202098,0.7168014814268868,504
hf_bert-base-uncased,go_emotions,native,43,amusement,0.8072072072072072,0.7711518539412278,0.8443072957137753,264
hf_bert-base-uncased,go_emotions,native,43,anger,0.4945652173913043,0.42776044761338883,0.5541030132369571,198
hf_bert-base-uncased,go_emotions,native,43,annoyance,0.33214285714285713,0.27923213587748286,0.38353357472021066,320
hf_bert-base-uncased,go_emotions,native,43,approval,0.3714759535655058,0.3196963348931625,0.41861031410450017,351
hf_bert-base-uncased,go_emotions,native,43,caring,0.42214532871972316,0.34649392344365754,0.4935304547850673,135
hf_bert-base-uncased,go_emotions,native,43,confusion,0.3591549295774648,0.2879984435797665,0.42759019334263504,153
hf_bert-base-uncased,go_emotions,native,43,curiosity,0.5044722719141324,0.45100882559683425,0.5484711814693533,284
hf_bert-base-uncased,go_emotions,native,43,desire,0.48175182481751827,0.37755681818181824,0.584625850340136,83
hf_bert-base-uncased,go_emotions,native,43,disappointment,0.2834008097165992,0.21100738245412845,0.35833557347670253,151
hf_bert-base-uncased,go_emotions,native,43,disapproval,0.43006993006993005,0.37680750020469994,0.48028111785414723,267
hf_bert-base-uncased,go_emotions,native,43,disgust,0.49740932642487046,0.40236686390532544,0.5837328587878153,123
hf_bert-base-uncased,go_emotions,native,43,embarrassment,0.5,0.3331818181818183,0.6415431266846361,37
hf_bert-base-uncased,go_emotions,native,43,excitement,0.4632768361581921,0.369855568790947,0.5475044664379094,103
hf_bert-base-uncased,go_emotions,native,43,fear,0.6797385620915033,0.5921052631578947,0.7591333271736117,78
hf_bert-base-uncased,go_emotions,native,43,gratitude,0.9025069637883009,0.8796216475095786,0.924282504446964,352
hf_bert-base-uncased,go_emotions,native,43,grief,0.0,0.0,0.0,6
hf_bert-base-uncased,go_emotions,native,43,joy,0.5734265734265734,0.5,0.64,161
hf_bert-base-uncased,go_emotions,native,43,love,0.8,0.761502149818854,0.8357692093386082,238
hf_bert-base-uncased,go_emotions,native,43,nervousness,0.1935483870967742,0.0,0.3870967741935484,23
hf_bert-base-uncased,go_emotions,native,43,optimism,0.5595854922279793,0.4968789975802599,0.6177423985384314,186
hf_bert-base-uncased,go_emotions,native,43,pride,0.2857142857142857,0.0,0.5217391304347826,16
hf_bert-base-uncased,go_emotions,native,43,realization,0.2222222222222222,0.14563106796116504,0.2941379777717539,145
hf_bert-base-uncased,go_emotions,native,43,relief,0.4,0.0,0.6666666666666666,11
hf_bert-base-uncased,go_emotions,native,43,remorse,0.6716417910447762,0.5714285714285714,0.7580671515918195,56
hf_bert-base-uncased,go_emotions,native,43,sadness,0.5467128027681661,0.4778129823264712,0.6190476190476191,156
hf_bert-base-uncased,go_emotions,native,43,surprise,0.5296442687747036,0.44852693880242683,0.6046923640358908,141
hf_bert-base-uncased,go_emotions,native,43,neutral,0.6246958637469586,0.6047771285119835,0.6443855587894062,1787
hf_bert-base-uncased,go_emotions,native,44,admiration,0.6768935762224353,0.6425001625915244,0.7107294890632653,504
hf_bert-base-uncased,go_emotions,native,44,amusement,0.797752808988764,0.7589673289510981,0.8308356117566643,264
hf_bert-base-uncased,go_emotions,native,44,anger,0.4986737400530504,0.4364590017685818,0.5595958549222798,198
hf_bert-base-uncased,go_emotions,native,44,annoyance,0.33574007220216606,0.28189279013669255,0.3844903663771588,320
hf_bert-base-uncased,go_emotions,native,44,approval,0.37244897959183676,0.32576461061605433,0.415465073467885,351
hf_bert-base-uncased,go_emotions,native,44,caring,0.40784313725490196,0.3346598397285383,0.48285695555264185,135
hf_bert-base-uncased,go_emotions,native,44,confusion,0.4430379746835443,0.3693296218676473,0.5060495503139317,153
