model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_distilbert-base-uncased,go_emotions,native,42,admiration,0.6789168278529981,0.6450366156543337,0.711135978297728,504
hf_distilbert-base-uncased,go_emotions,native,42,amusement,0.8181818181818182,0.7821011673151751,0.8514250044431236,264
hf_distilbert-base-uncased,go_emotions,native,42,anger,0.5171503957783641,0.4552723020380889,0.5736973364067102,198
hf_distilbert-base-uncased,go_emotions,native,42,annoyance,0.308300395256917,0.25594913924401164,0.3597799055708399,320
hf_distilbert-base-uncased,go_emotions,native,42,approval,0.3543859649122807,0.3022801735290856,0.4019308628259499,351
hf_distilbert-base-uncased,go_emotions,native,42,caring,0.4153846153846154,0.33198154405202096,0.4833041285230008,135
hf_distilbert-base-uncased,go_emotions,native,42,confusion,0.3466666666666667,0.26602467429098076,0.41818181818181815,153
hf_distilbert-base-uncased,go_emotions,native,42,curiosity,0.42829076620825146,0.37449356249833626,0.48263897095112646,284
hf_distilbert-base-uncased,go_emotions,native,42,desire,0.48854961832061067,0.3673469387755102,0.5917378917378917,83
hf_distilbert-base-uncased,go_emotions,native,42,disappointment,0.3048327137546468,0.23574076588810428,0.3754063906558048,151
hf_distilbert-base-uncased,go_emotions,native,42,disapproval,0.377431906614786,0.32309519097565803,0.42801628210834636,267
hf_distilbert-base-uncased,go_emotions,native,42,disgust,0.4880382775119617,0.40393851837817357,0.5648148148148148,123
hf_distilbert-base-uncased,go_emotions,native,42,embarrassment,0.5172413793103449,0.3379107981220658,0.6666666666666666,37
hf_distilbert-base-uncased,go_emotions,native,42,excitement,0.4713375796178344,0.3717920353982301,0.5649778924097273,103
hf_distilbert-base-uncased,go_emotions,native,42,fear,0.6621621621621622,0.5739063026626222,0.7453471277885994,78
hf_distilbert-base-uncased,go_emotions,native,42,gratitude,0.920863309352518,0.8973215500981936,0.9410191236988622,352
hf_distilbert-base-uncased,go_emotions,native,42,grief,0.0,0.0,0.0,6
hf_distilbert-base-uncased,go_emotions,native,42,joy,0.6081504702194357,0.5401829125824721,0.6666666666666666,161
hf_distilbert-base-uncased,go_emotions,native,42,love,0.7801724137931034,0.7351503871351995,0.8189759608081422,238
hf_distilbert-base-uncased,go_emotions,native,42,nervousness,0.38095238095238093,0.18181818181818182,0.5557692307692306,23
hf_distilbert-base-uncased,go_emotions,native,42,optimism,0.5173501577287066,0.4492679680567879,0.5802816901408451,186
hf_distilbert-base-uncased,go_emotions,native,42,pride,0.56,0.3,0.782608695652174,16
hf_distilbert-base-uncased,go_emotions,native,42,realization,0.18691588785046728,0.11538461538461539,0.2597489953992196,145
hf_distilbert-base-uncased,go_emotions,native,42,relief,0.16666666666666666,0.0,0.4444444444444444,11
hf_distilbert-base-uncased,go_emotions,native,42,remorse,0.6616541353383458,0.5636231244483672,0.7480943489483223,56
hf_distilbert-base-uncased,go_emotions,native,42,sadness,0.527027027027027,0.4545220243673852,0.5913816984673445,156
hf_distilbert-base-uncased,go_emotions,native,42,surprise,0.5461847389558233,0.4711101928374655,0.6142444295526889,141
hf_distilbert-base-uncased,go_emotions,native,42,neutral,0.5825614819546471,0.5623546160266791,0.6019668187178037,1787
