model,dataset,schema,seed,emotion,f1,support
naive_bayes_bow,go_emotions,native,42,admiration,0.49557522123893805,504
naive_bayes_bow,go_emotions,native,42,amusement,0.38923395445134573,264
naive_bayes_bow,go_emotions,native,42,anger,0.27932960893854747,198
naive_bayes_bow,go_emotions,native,42,annoyance,0.14893617021276595,320
naive_bayes_bow,go_emotions,native,42,approval,0.18729096989966554,351
naive_bayes_bow,go_emotions,native,42,caring,0.13178294573643412,135
naive_bayes_bow,go_emotions,native,42,confusion,0.15827338129496402,153
naive_bayes_bow,go_emotions,native,42,curiosity,0.3,284
naive_bayes_bow,go_emotions,native,42,desire,0.10144927536231885,83
naive_bayes_bow,go_emotions,native,42,disappointment,0.072,151
naive_bayes_bow,go_emotions,native,42,disapproval,0.15521064301552107,267
naive_bayes_bow,go_emotions,native,42,disgust,0.1990521327014218,123
naive_bayes_bow,go_emotions,native,42,embarrassment,0.024691358024691357,37
naive_bayes_bow,go_emotions,native,42,excitement,0.13333333333333333,103
naive_bayes_bow,go_emotions,native,42,fear,0.14492753623188406,78
naive_bayes_bow,go_emotions,native,42,gratitude,0.7069182389937106,352
naive_bayes_bow,go_emotions,native,42,grief,0.05,6
naive_bayes_bow,go_emotions,native,42,joy,0.31446540880503143,161
naive_bayes_bow,go_emotions,native,42,love,0.5220883534136547,238
naive_bayes_bow,go_emotions,native,42,nervousness,0.0,23
naive_bayes_bow,go_emotions,native,42,optimism,0.32085561497326204,186
naive_bayes_bow,go_emotions,native,42,pride,0.0,16
naive_bayes_bow,go_emotions,native,42,realization,0.05286343612334802,145
naive_bayes_bow,go_emotions,native,42,relief,0.0,11
naive_bayes_bow,go_emotions,native,42,remorse,0.1308411214953271,56
naive_bayes_bow,go_emotions,native,42,sadness,0.2508710801393728,156
naive_bayes_bow,go_emotions,native,42,surprise,0.17391304347826086,141
naive_bayes_bow,go_emotions,native,42,neutral,0.5789052069425901,1787
logreg_bow,go_emotions,native,42,admiration,0.6232142857142857,504
logreg_bow,go_emotions,native,42,amusement,0.7880910683012259,264
logreg_bow,go_emotions,native,42,anger,0.41379310344827586,198
logreg_bow,go_emotions,native,42,annoyance,0.2987551867219917,320
logreg_bow,go_emotions,native,42,approval,0.2901307966706302,351
logreg_bow,go_emotions,native,42,caring,0.2375,135
logreg_bow,go_emotions,native,42,confusion,0.350253807106599,153
logreg_bow,go_emotions,native,42,curiosity,0.38009049773755654,284
logreg_bow,go_emotions,native,42,desire,0.42424242424242425,83
logreg_bow,go_emotions,native,42,disappointment,0.2073170731707317,151
logreg_bow,go_emotions,native,42,disapproval,0.3202416918429003,267
logreg_bow,go_emotions,native,42,disgust,0.4728682170542636,123
logreg_bow,go_emotions,native,42,embarrassment,0.2727272727272727,37
logreg_bow,go_emotions,native,42,excitement,0.2895622895622896,103
logreg_bow,go_emotions,native,42,fear,0.6134969325153374,78
logreg_bow,go_emotions,native,42,gratitude,0.8922651933701657,352
logreg_bow,go_emotions,native,42,grief,0.42857142857142855,6
logreg_bow,go_emotions,native,42,joy,0.511166253101737,161
logreg_bow,go_emotions,native,42,love,0.744721689059501,238
logreg_bow,go_emotions,native,42,nervousness,0.19047619047619047,23
logreg_bow,go_emotions,native,42,optimism,0.555,186
logreg_bow,go_emotions,native,42,pride,0.36363636363636365,16
logreg_bow,go_emotions,native,42,realization,0.2802547770700637,145
logreg_bow,go_emotions,native,42,relief,0.08,11
logreg_bow,go_emotions,native,42,remorse,0.6099290780141844,56
logreg_bow,go_emotions,native,42,sadness,0.467966573816156,156
logreg_bow,go_emotions,native,42,surprise,0.45121951219512196,141
logreg_bow,go_emotions,native,42,neutral,0.6323057953144267,1787
linsvm_bow,go_emotions,native,42,admiration,0.4684931506849315,504
linsvm_bow,go_emotions,native,42,amusement,0.6576576576576577,264
linsvm_bow,go_emotions,native,42,anger,0.056338028169014086,198
linsvm_bow,go_emotions,native,42,annoyance,0.0,320
linsvm_bow,go_emotions,native,42,approval,0.005681818181818182,351
linsvm_bow,go_emotions,native,42,caring,0.02857142857142857,135
linsvm_bow,go_emotions,native,42,confusion,0.012738853503184714,153
linsvm_bow,go_emotions,native,42,curiosity,0.0472972972972973,284
linsvm_bow,go_emotions,native,42,desire,0.2222222222222222,83
linsvm_bow,go_emotions,native,42,disappointment,0.0,151
linsvm_bow,go_emotions,native,42,disapproval,0.0,267
linsvm_bow,go_emotions,native,42,disgust,0.13533834586466165,123
linsvm_bow,go_emotions,native,42,embarrassment,0.0,37
linsvm_bow,go_emotions,native,42,excitement,0.05660377358490566,103
linsvm_bow,go_emotions,native,42,fear,0.40404040404040403,78
linsvm_bow,go_emotions,native,42,gratitude,0.8971684053651267,352
linsvm_bow,go_emotions,native,42,grief,0.0,6
linsvm_bow,go_emotions,native,42,joy,0.18181818181818182,161
linsvm_bow,go_emotions,native,42,love,0.6584766584766585,238
linsvm_bow,go_emotions,native,42,nervousness,0.0,23
linsvm_bow,go_emotions,native,42,optimism,0.3263598326359833,186
linsvm_bow,go_emotions,native,42,pride,0.0,16
linsvm_bow,go_emotions,native,42,realization,0.0,145
linsvm_bow,go_emotions,native,42,relief,0.0,11
linsvm_bow,go_emotions,native,42,remorse,0.5106382978723404,56
linsvm_bow,go_emotions,native,42,sadness,0.2011173184357542,156
linsvm_bow,go_emotions,native,42,surprise,0.1282051282051282,141
linsvm_bow,go_emotions,native,42,neutral,0.40182996568814333,1787
random_forest_bow,go_emotions,native,42,admiration,0.4644808743169399,504
random_forest_bow,go_emotions,native,42,amusement,0.5619047619047619,264
random_forest_bow,go_emotions,native,42,anger,0.2530612244897959,198
random_forest_bow,go_emotions,native,42,annoyance,0.07977207977207977,320
random_forest_bow,go_emotions,native,42,approval,0.12531328320802004,351
random_forest_bow,go_emotions,native,42,caring,0.14193548387096774,135
random_forest_bow,go_emotions,native,42,confusion,0.049079754601226995,153
random_forest_bow,go_emotions,native,42,curiosity,0.08484848484848485,284
random_forest_bow,go_emotions,native,42,desire,0.1111111111111111,83
random_forest_bow,go_emotions,native,42,disappointment,0.012987012987012988,151
