model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,sentiment3,42,positive,0.8220916568742656,,,2104
hf_bert-base-uncased,go_emotions,sentiment3,42,negative,0.6794707639778063,,,1262
hf_bert-base-uncased,go_emotions,sentiment3,42,ambiguous,0.5773353751914242,,,677
hf_bert-base-uncased,go_emotions,sentiment3,42,neutral,0.6457553956834532,,,1787
hf_bert-base-uncased,go_emotions,sentiment3,43,positive,0.8254562470753393,,,2104
hf_bert-base-uncased,go_emotions,sentiment3,43,negative,0.6848341232227488,,,1262
hf_bert-base-uncased,go_emotions,sentiment3,43,ambiguous,0.5998515219005197,,,677
hf_bert-base-uncased,go_emotions,sentiment3,43,neutral,0.628413623810985,,,1787
hf_bert-base-uncased,go_emotions,sentiment3,44,positive,0.8221806270472625,,,2104
hf_bert-base-uncased,go_emotions,sentiment3,44,negative,0.6770491803278689,,,1262
hf_bert-base-uncased,go_emotions,sentiment3,44,ambiguous,0.6086320409656182,,,677
hf_bert-base-uncased,go_emotions,sentiment3,44,neutral,0.6303246946678582,,,1787
