model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,native,42,admiration,0.683206106870229,,,504
hf_bert-base-uncased,go_emotions,native,42,amusement,0.8,,,264
hf_bert-base-uncased,go_emotions,native,42,anger,0.49577464788732395,,,198
hf_bert-base-uncased,go_emotions,native,42,annoyance,0.28270042194092826,,,320
hf_bert-base-uncased,go_emotions,native,42,approval,0.3789868667917448,,,351
hf_bert-base-uncased,go_emotions,native,42,caring,0.4230769230769231,,,135
hf_bert-base-uncased,go_emotions,native,42,confusion,0.4163265306122449,,,153
hf_bert-base-uncased,go_emotions,native,42,curiosity,0.47478991596638653,,,284
hf_bert-base-uncased,go_emotions,native,42,desire,0.36363636363636365,,,83
hf_bert-base-uncased,go_emotions,native,42,disappointment,0.18604651162790697,,,151
hf_bert-base-uncased,go_emotions,native,42,disapproval,0.21700879765395895,,,267
hf_bert-base-uncased,go_emotions,native,42,disgust,0.48128342245989303,,,123
hf_bert-base-uncased,go_emotions,native,42,embarrassment,0.5,,,37
hf_bert-base-uncased,go_emotions,native,42,excitement,0.43037974683544306,,,103
hf_bert-base-uncased,go_emotions,native,42,fear,0.6956521739130435,,,78
hf_bert-base-uncased,go_emotions,native,42,gratitude,0.9221902017291066,,,352
hf_bert-base-uncased,go_emotions,native,42,grief,0.0,,,6
hf_bert-base-uncased,go_emotions,native,42,joy,0.515625,,,161
hf_bert-base-uncased,go_emotions,native,42,love,0.7807017543859649,,,238
hf_bert-base-uncased,go_emotions,native,42,nervousness,0.0,,,23
hf_bert-base-uncased,go_emotions,native,42,optimism,0.5572755417956656,,,186
hf_bert-base-uncased,go_emotions,native,42,pride,0.0,,,16
hf_bert-base-uncased,go_emotions,native,42,realization,0.17857142857142858,,,145
hf_bert-base-uncased,go_emotions,native,42,relief,0.0,,,11
hf_bert-base-uncased,go_emotions,native,42,remorse,0.6153846153846154,,,56
hf_bert-base-uncased,go_emotions,native,42,sadness,0.5714285714285714,,,156
hf_bert-base-uncased,go_emotions,native,42,surprise,0.5118110236220472,,,141
hf_bert-base-uncased,go_emotions,native,42,neutral,0.6219126029132362,,,1787
hf_bert-base-uncased,go_emotions,native,43,admiration,0.7029608404966571,,,504
hf_bert-base-uncased,go_emotions,native,43,amusement,0.8102189781021898,,,264
hf_bert-base-uncased,go_emotions,native,43,anger,0.48520710059171596,,,198
hf_bert-base-uncased,go_emotions,native,43,annoyance,0.24813895781637718,,,320
hf_bert-base-uncased,go_emotions,native,43,approval,0.37749546279491836,,,351
hf_bert-base-uncased,go_emotions,native,43,caring,0.44019138755980863,,,135
hf_bert-base-uncased,go_emotions,native,43,confusion,0.4186046511627907,,,153
hf_bert-base-uncased,go_emotions,native,43,curiosity,0.4874274661508704,,,284
hf_bert-base-uncased,go_emotions,native,43,desire,0.48854961832061067,,,83
hf_bert-base-uncased,go_emotions,native,43,disappointment,0.29292929292929293,,,151
hf_bert-base-uncased,go_emotions,native,43,disapproval,0.4074074074074074,,,267
hf_bert-base-uncased,go_emotions,native,43,disgust,0.4946236559139785,,,123
hf_bert-base-uncased,go_emotions,native,43,embarrassment,0.4,,,37
hf_bert-base-uncased,go_emotions,native,43,excitement,0.4678362573099415,,,103
hf_bert-base-uncased,go_emotions,native,43,fear,0.6753246753246753,,,78
hf_bert-base-uncased,go_emotions,native,43,gratitude,0.9208211143695014,,,352
hf_bert-base-uncased,go_emotions,native,43,grief,0.0,,,6
hf_bert-base-uncased,go_emotions,native,43,joy,0.5612648221343873,,,161
hf_bert-base-uncased,go_emotions,native,43,love,0.8084210526315789,,,238
hf_bert-base-uncased,go_emotions,native,43,nervousness,0.07692307692307693,,,23
hf_bert-base-uncased,go_emotions,native,43,optimism,0.5798816568047337,,,186
hf_bert-base-uncased,go_emotions,native,43,pride,0.0,,,16
hf_bert-base-uncased,go_emotions,native,43,realization,0.16049382716049382,,,145
hf_bert-base-uncased,go_emotions,native,43,relief,0.0,,,11
