model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
bilstm,go_emotions,native,42,admiration,0.6101364522417154,,,504
bilstm,go_emotions,native,42,amusement,0.7659574468085106,,,264
bilstm,go_emotions,native,42,anger,0.20242914979757085,,,198
bilstm,go_emotions,native,42,annoyance,0.04081632653061224,,,320
bilstm,go_emotions,native,42,approval,0.13648293963254593,,,351
bilstm,go_emotions,native,42,caring,0.10596026490066225,,,135
bilstm,go_emotions,native,42,confusion,0.012987012987012988,,,153
bilstm,go_emotions,native,42,curiosity,0.09404388714733543,,,284
bilstm,go_emotions,native,42,desire,0.21568627450980393,,,83
bilstm,go_emotions,native,42,disappointment,0.0,,,151
bilstm,go_emotions,native,42,disapproval,0.02877697841726619,,,267
bilstm,go_emotions,native,42,disgust,0.2361111111111111,,,123
bilstm,go_emotions,native,42,embarrassment,0.0,,,37
bilstm,go_emotions,native,42,excitement,0.05504587155963303,,,103
bilstm,go_emotions,native,42,fear,0.21978021978021978,,,78
bilstm,go_emotions,native,42,gratitude,0.9052631578947369,,,352
bilstm,go_emotions,native,42,grief,0.0,,,6
bilstm,go_emotions,native,42,joy,0.4881889763779528,,,161
bilstm,go_emotions,native,42,love,0.7722342733188721,,,238
bilstm,go_emotions,native,42,nervousness,0.0,,,23
bilstm,go_emotions,native,42,optimism,0.4946236559139785,,,186
bilstm,go_emotions,native,42,pride,0.0,,,16
bilstm,go_emotions,native,42,realization,0.0,,,145
bilstm,go_emotions,native,42,relief,0.0,,,11
bilstm,go_emotions,native,42,remorse,0.4318181818181818,,,56
bilstm,go_emotions,native,42,sadness,0.375,,,156
bilstm,go_emotions,native,42,surprise,0.2916666666666667,,,141
bilstm,go_emotions,native,42,neutral,0.5539481615430982,,,1787
bilstm,go_emotions,native,43,admiration,0.581986143187067,,,504
bilstm,go_emotions,native,43,amusement,0.7680311890838206,,,264
bilstm,go_emotions,native,43,anger,0.21774193548387097,,,198
bilstm,go_emotions,native,43,annoyance,0.030303030303030304,,,320
bilstm,go_emotions,native,43,approval,0.18446601941747573,,,351
bilstm,go_emotions,native,43,caring,0.13333333333333333,,,135
bilstm,go_emotions,native,43,confusion,0.0625,,,153
bilstm,go_emotions,native,43,curiosity,0.15428571428571428,,,284
bilstm,go_emotions,native,43,desire,0.26666666666666666,,,83
bilstm,go_emotions,native,43,disappointment,0.0,,,151
bilstm,go_emotions,native,43,disapproval,0.056140350877192984,,,267
bilstm,go_emotions,native,43,disgust,0.2876712328767123,,,123
bilstm,go_emotions,native,43,embarrassment,0.0,,,37
bilstm,go_emotions,native,43,excitement,0.19672131147540983,,,103
bilstm,go_emotions,native,43,fear,0.3469387755102041,,,78
bilstm,go_emotions,native,43,gratitude,0.9037037037037037,,,352
bilstm,go_emotions,native,43,grief,0.0,,,6
bilstm,go_emotions,native,43,joy,0.5093632958801498,,,161
bilstm,go_emotions,native,43,love,0.7488789237668162,,,238
bilstm,go_emotions,native,43,nervousness,0.0,,,23
bilstm,go_emotions,native,43,optimism,0.4693140794223827,,,186
bilstm,go_emotions,native,43,pride,0.0,,,16
bilstm,go_emotions,native,43,realization,0.0,,,145
bilstm,go_emotions,native,43,relief,0.0,,,11
bilstm,go_emotions,native,43,remorse,0.46808510638297873,,,56
bilstm,go_emotions,native,43,sadness,0.3054187192118227,,,156
bilstm,go_emotions,native,43,surprise,0.27692307692307694,,,141
bilstm,go_emotions,native,43,neutral,0.594626168224299,,,1787
bilstm,go_emotions,native,44,admiration,0.5904139433551199,,,504
bilstm,go_emotions,native,44,amusement,0.7302231237322515,,,264
bilstm,go_emotions,native,44,anger,0.26666666666666666,,,198
bilstm,go_emotions,native,44,annoyance,0.006230529595015576,,,320
bilstm,go_emotions,native,44,approval,0.1836734693877551,,,351
bilstm,go_emotions,native,44,caring,0.1095890410958904,,,135
bilstm,go_emotions,native,44,confusion,0.08484848484848485,,,153
bilstm,go_emotions,native,44,curiosity,0.2222222222222222,,,284
bilstm,go_emotions,native,44,desire,0.1875,,,83
bilstm,go_emotions,native,44,disappointment,0.0,,,151
bilstm,go_emotions,native,44,disapproval,0.02214022140221402,,,267
bilstm,go_emotions,native,44,disgust,0.23776223776223776,,,123
bilstm,go_emotions,native,44,embarrassment,0.0,,,37
bilstm,go_emotions,native,44,excitement,0.07207207207207207,,,103
bilstm,go_emotions,native,44,fear,0.05,,,78
bilstm,go_emotions,native,44,gratitude,0.9187592319054653,,,352
bilstm,go_emotions,native,44,grief,0.0,,,6
bilstm,go_emotions,native,44,joy,0.38596491228070173,,,161
bilstm,go_emotions,native,44,love,0.7711864406779662,,,238
bilstm,go_emotions,native,44,nervousness,0.0,,,23
bilstm,go_emotions,native,44,optimism,0.4411764705882353,,,186
bilstm,go_emotions,native,44,pride,0.0,,,16
bilstm,go_emotions,native,44,realization,0.0,,,145
bilstm,go_emotions,native,44,relief,0.0,,,11
bilstm,go_emotions,native,44,remorse,0.43478260869565216,,,56
bilstm,go_emotions,native,44,sadness,0.3565217391304348,,,156
bilstm,go_emotions,native,44,surprise,0.19540229885057472,,,141
bilstm,go_emotions,native,44,neutral,0.6142465753424657,,,1787
