model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,native,42,admiration,0.683206106870229,0.6506454768893025,0.7175299391401087,504
hf_bert-base-uncased,go_emotions,native,42,amusement,0.8,0.7642465794437292,0.8375451263537906,264
hf_bert-base-uncased,go_emotions,native,42,anger,0.49577464788732395,0.43452025371681713,0.5561058831060752,198
hf_bert-base-uncased,go_emotions,native,42,annoyance,0.28270042194092826,0.22878518462469735,0.33962464447382124,320
hf_bert-base-uncased,go_emotions,native,42,approval,0.3789868667917448,0.3259330360749584,0.4305608974358975,351
hf_bert-base-uncased,go_emotions,native,42,caring,0.4230769230769231,0.32963752665245205,0.5023724838772718,135
hf_bert-base-uncased,go_emotions,native,42,confusion,0.4163265306122449,0.331910860139155,0.4880180451127819,153
hf_bert-base-uncased,go_emotions,native,42,curiosity,0.47478991596638653,0.41714107595743777,0.5315917928352776,284
hf_bert-base-uncased,go_emotions,native,42,desire,0.36363636363636365,0.24742268041237114,0.47461662631154156,83
hf_bert-base-uncased,go_emotions,native,42,disappointment,0.18604651162790697,0.10255474452554746,0.2623002049180328,151
hf_bert-base-uncased,go_emotions,native,42,disapproval,0.21700879765395895,0.15696536905965622,0.2724857567500619,267
hf_bert-base-uncased,go_emotions,native,42,disgust,0.48128342245989303,0.3948532757051866,0.5674418604651162,123
hf_bert-base-uncased,go_emotions,native,42,embarrassment,0.5,0.319936507936508,0.6557377049180327,37
hf_bert-base-uncased,go_emotions,native,42,excitement,0.43037974683544306,0.3283389089037571,0.5257169684775318,103
hf_bert-base-uncased,go_emotions,native,42,fear,0.6956521739130435,0.6153846153846154,0.7701863354037267,78
hf_bert-base-uncased,go_emotions,native,42,gratitude,0.9221902017291066,0.8992446621003547,0.9421493431558824,352
hf_bert-base-uncased,go_emotions,native,42,grief,0.0,0.0,0.0,6
hf_bert-base-uncased,go_emotions,native,42,joy,0.515625,0.43478260869565216,0.5878596338273757,161
hf_bert-base-uncased,go_emotions,native,42,love,0.7807017543859649,0.7355679627249357,0.819387001131719,238
hf_bert-base-uncased,go_emotions,native,42,nervousness,0.0,0.0,0.0,23
hf_bert-base-uncased,go_emotions,native,42,optimism,0.5572755417956656,0.4934142934390771,0.6193260248187394,186
hf_bert-base-uncased,go_emotions,native,42,pride,0.0,0.0,0.0,16
hf_bert-base-uncased,go_emotions,native,42,realization,0.17857142857142858,0.10126226710283033,0.26178322114185987,145
hf_bert-base-uncased,go_emotions,native,42,relief,0.0,0.0,0.0,11
hf_bert-base-uncased,go_emotions,native,42,remorse,0.6153846153846154,0.4954037605595422,0.720014705882353,56
hf_bert-base-uncased,go_emotions,native,42,sadness,0.5714285714285714,0.5020895497507877,0.641250442343663,156
hf_bert-base-uncased,go_emotions,native,42,surprise,0.5118110236220472,0.43088428305807724,0.5836661478599222,141
hf_bert-base-uncased,go_emotions,native,42,neutral,0.6219126029132362,0.6016700839630982,0.641565296281417,1787
