model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,native,42,admiration,0.6846361185983828,0.6549047358298373,0.7161954424885459,504
hf_bert-base-uncased,go_emotions,native,42,amusement,0.8100358422939068,0.7717301198877001,0.8478278457858449,264
hf_bert-base-uncased,go_emotions,native,42,anger,0.46835443037974683,0.4025963652960458,0.530977803568838,198
hf_bert-base-uncased,go_emotions,native,42,annoyance,0.3424408014571949,0.2868088689306764,0.3929264049618032,320
hf_bert-base-uncased,go_emotions,native,42,approval,0.4030534351145038,0.3585510799404171,0.4497169497169497,351
hf_bert-base-uncased,go_emotions,native,42,caring,0.4234527687296417,0.35412605932203395,0.48573359073359074,135
hf_bert-base-uncased,go_emotions,native,42,confusion,0.4148148148148148,0.33584455239417077,0.48398576512455516,153
hf_bert-base-uncased,go_emotions,native,42,curiosity,0.48484848484848486,0.43494019718765153,0.5307515902243053,284
hf_bert-base-uncased,go_emotions,native,42,desire,0.5416666666666666,0.4366133162612036,0.6417956513727657,83
hf_bert-base-uncased,go_emotions,native,42,disappointment,0.30578512396694213,0.2317596566523605,0.3813559322033898,151
hf_bert-base-uncased,go_emotions,native,42,disapproval,0.40441176470588236,0.3485776959185501,0.45329430301532375,267
hf_bert-base-uncased,go_emotions,native,42,disgust,0.4830917874396135,0.3955734406438632,0.5631067961165048,123
hf_bert-base-uncased,go_emotions,native,42,embarrassment,0.4918032786885246,0.3199545454545455,0.6364267676767676,37
hf_bert-base-uncased,go_emotions,native,42,excitement,0.44047619047619047,0.343272921108742,0.5277855805243445,103
hf_bert-base-uncased,go_emotions,native,42,fear,0.6451612903225806,0.557124060150376,0.7284284284284284,78
hf_bert-base-uncased,go_emotions,native,42,gratitude,0.9065155807365439,0.8823487153482082,0.9276838625402699,352
hf_bert-base-uncased,go_emotions,native,42,grief,0.0,0.0,0.0,6
hf_bert-base-uncased,go_emotions,native,42,joy,0.6013513513513513,0.5279970260223048,0.6622073578595318,161
hf_bert-base-uncased,go_emotions,native,42,love,0.7940552016985138,0.7521712181099532,0.8309625201682228,238
hf_bert-base-uncased,go_emotions,native,42,nervousness,0.23529411764705882,0.0539527027027028,0.42105263157894735,23
hf_bert-base-uncased,go_emotions,native,42,optimism,0.5464788732394367,0.48327719173832107,0.6047967091028028,186
hf_bert-base-uncased,go_emotions,native,42,pride,0.2222222222222222,0.0,0.5,16
hf_bert-base-uncased,go_emotions,native,42,realization,0.17435897435897435,0.10054469273743019,0.25225435716089917,145
hf_bert-base-uncased,go_emotions,native,42,relief,0.26666666666666666,0.0,0.5454545454545454,11
hf_bert-base-uncased,go_emotions,native,42,remorse,0.6818181818181818,0.5820534424650939,0.7692307692307693,56
hf_bert-base-uncased,go_emotions,native,42,sadness,0.5666666666666667,0.49996056782334386,0.6319444444444444,156
hf_bert-base-uncased,go_emotions,native,42,surprise,0.49612403100775193,0.419189898218407,0.5671668928086838,141
hf_bert-base-uncased,go_emotions,native,42,neutral,0.5977883096366509,0.5780043825019006,0.6174431587631563,1787
